Key,CATCHMENT,CLASS,RF_SCORE,WEIGHT,SECTOR,NAME,BASEHHS
44-003-4       RG42 1,4,2,576,1%,RG42 1,Camberley,2081
44-003-4       RG42 2,4,2,576,1%,RG42 2,Camberley,2460
44-003-4       RG42 3,4,2,576,2%,RG42 3,Camberley,2499
44-003-4       RG42 4,4,2,576,1%,RG42 4,Camberley,2320
44-003-4       RG42 5,4,2,576,1%,RG42 5,Camberley,783
44-003-4       RG42 6,4,2,576,2%,RG42 6,Camberley,741
44-003-4       RG42 7,4,2,576,4%,RG42 7,Camberley,571
44-003-4       RG42 9,4,2,576,1%,RG42 9,Camberley,0
44-003-4       SL 5 7,4,2,576,4%,SL 5 7,Camberley,2252
44-003-4       SL 5 8,4,2,576,6%,SL 5 8,Camberley,2990
44-003-4       TW20 0,4,2,576,0%,TW20 0,Camberley,3791
